SOC,RO,R1,Q1,a1,R2,Q2,a2,Q,L
1,0.000219172254610752,0.00149465723611147,0.043513098018998,0.0080651305551724,0.00144917902604221,0.0594234430954739,0.0394054040082106,3.02494610723754,3.27496655049306e-09
0.894459214159389,0.000100495446987584,0.00112918151254957,0.0374047644557702,0.00551358398314919,0.00104437385214858,0.0274612714869804,0.0167412981297289,0.978167600251512,1.42888501929276e-09
0.78862531814912,0.000454441089068184,0.00453693055069999,0.249214173198069,0.0434510127587323,0.0039535359846905,0.131639652949319,0.0329218863968551,1.84911792969601,3.46800812335798e-09
0.682791589074279,0.000605693531203044,0.00525388523058294,0.27836323432625,0.0587336742171648,0.00453555774985216,0.16795506829031,0.0398204196989116,3.33145681481552,5.68891671717179e-09
0.576957547252144,0.000641155179096438,0.00584273270113894,0.29824842260708,0.060584977892207,0.00507599571752448,0.221956868497451,0.044409316232721,8.4936530708124,6.72152346329773e-09
0.471416351509301,0.000656472730171443,0.00710661543370778,0.358418544477552,0.0561314345410914,0.00616349597941718,0.372357448064909,0.0564168648667129,14.4268487743581,6.75798506945348e-09
0.365875165418386,0.00079341959438981,0.00912539630385541,0.460967738406535,0.0629497703790005,0.00771142780331771,0.67976344250509,0.0942326408562309,20.0397231976549,9.58772893589015e-09
0.260041287337153,0.000413681231817203,0.00392341988292522,0.269756231170559,0.0221650238543233,0.00240090620675305,0.286369187788733,0.0461668097738651,12.6248607231851,6.01404553718714e-09
0.154207279516035,0.00026464395030899,0.00238005873589448,0.173749305013722,0.012226318818971,0.00131041289281603,0.12639028981243,0.0175115034015017,10.234899749992,3.4621441782257e-09
0.0483731878095812,0.000329511281146952,0.00172342786694902,0.136782381922457,0.0184237559126046,0.00158330892643354,0.0964848786418991,0.0153594025167653,2.97831714163703,6.71541289399026e-09
