0.4350247383	1.0001205206	3.7779750824
1.4350824356	1.0001229048	3.7930469513
2.4351391792	1.0001220703	3.7992351055
3.4351968765	1.0001214743	3.8037307262
4.4352536201	1.0001229048	3.8074190617
5.4353108406	1.0001236200	3.8105862141
6.4353680611	1.0001225471	3.8134152889
7.4354252815	1.0001200438	3.8159706593
8.4354820251	1.0001238585	3.8183400631
9.4355397224	1.0001206398	3.8205492496
10.4355964661	1.0001266003	3.8226215839
11.4356541634	1.0001266003	3.8246133327
12.4347109795	1.0001225471	3.8264918327
13.4347686768	1.0001231432	3.8282933235
14.4348254204	1.0001194477	3.8300390244
15.4348831177	1.0001189709	3.8316938877
16.4349398613	1.0001242161	3.8333127499
17.4349975586	1.0001232624	3.8348839283
18.4350543022	1.0001170635	3.8363840580
19.4351119995	1.0001225471	3.8378329277
20.4351687431	1.0001196861	3.8392724991
21.4352264404	1.0001263618	3.8406527042
22.4352831841	1.0001193285	3.8420176506
23.4353408813	1.0001192093	3.8433520794
24.4353976250	1.0001217127	3.8446373940
25.4354548454	1.0001217127	3.8459112644
26.4355120659	1.0001200438	3.8471479416
27.4355692863	1.0001226664	3.8483703136
28.4356260300	1.0001128912	3.8495626450
29.4356837273	1.0001178980	3.8507120609
30.4347405434	1.0001180172	3.8518788815
31.4347977638	1.0001214743	3.8530013561
32.4348549843	1.0001173019	3.8541042805
33.4349122047	1.0001126528	3.8551759720
34.4349694252	1.0001109838	3.8562564850
35.4350266457	1.0001207590	3.8573334217
36.4350838661	1.0001167059	3.8583314419
37.4351410866	1.0001209974	3.8593761921
38.4351983070	1.0001164675	3.8603680134
39.4352555275	1.0001221895	3.8613700867
40.4353127480	1.0001209974	3.8623402119
41.4353699684	1.0001245737	3.8633058071
42.4354271889	1.0001183748	3.8642585278
43.4354844093	1.0001170635	3.8651871681
44.4355416298	1.0001163483	3.8661148548
45.4355988503	1.0001158714	3.8670225143
46.4356560707	1.0001113415	3.8679199219
47.4347128868	1.0001209974	3.8688154221
48.4347701073	1.0001195669	3.8697011471
49.4348273277	1.0001180172	3.8705632687
50.4348845482	1.0001180172	3.8714265823
51.4349417686	1.0001224279	3.8722681999
52.4349989891	1.0001136065	3.8730902672
53.4350562096	1.0001195669	3.8739414215
54.4351134300	1.0001111031	3.8747568130
55.4351706505	1.0001177788	3.8755702972
56.4352278709	1.0001149178	3.8763501644
57.4352850914	1.0001157522	3.8771555424
58.4353423119	1.0001171827	3.8779416084
59.4353995323	1.0001159906	3.8787307739
60.4354567528	1.0001205206	3.8794934750
61.4355139732	1.0001122952	3.8802556992
62.4355711937	1.0001120567	3.8809947968
63.4356284142	1.0001219511	3.8817715645
64.4356856346	1.0001143217	3.8824944496
65.4347424507	1.0001106262	3.8832261562
66.4347996712	1.0001155138	3.8839609623
67.4348568916	1.0001139641	3.8846783638
68.4349141121	1.0001190901	3.8853991032
69.4349713326	1.0001161098	3.8861110210
70.4350285530	1.0001149178	3.8868184090
71.4350857735	1.0001192093	3.8875069618
72.4351429939	1.0001180172	3.8881878853
73.4352002144	1.0001167059	3.8888783455
74.4352574348	1.0001187325	3.8895583153
75.4353146553	1.0001122952	3.8902332783
76.4353718758	1.0001224279	3.8909037113
77.4354290962	1.0001212358	3.8915696144
78.4354863167	1.0001250505	3.8922433853
79.4355435371	1.0001164675	3.8928899765
80.4356007576	1.0001217127	3.8935377598
81.4356579781	1.0001182556	3.8941614628
82.4347152710	1.0001177788	3.8947939873
83.4347720146	1.0001219511	3.8954374790
84.4348292351	1.0001158714	3.8960740566
85.4348864555	1.0001224279	3.8966929913
86.4349436760	1.0001152754	3.8973205090
87.4350008965	1.0001201630	3.8979277611
88.4350581169	1.0001229048	3.8985362053
89.4351153374	1.0001198053	3.8991446495
90.4351725578	1.0001219511	3.8997595310
91.4352297783	1.0001211166	3.9003496170
92.4352869987	1.0001199245	3.9009423256
93.4353442192	1.0001164675	3.9015350342
94.4354014397	1.0001186132	3.9021172523
95.4354586601	1.0001219511	3.9027307034
96.4355158806	1.0001162291	3.9032852650
97.4355731010	1.0001198053	3.9038603306
98.4356303215	1.0001214743	3.9044353962
99.4356875420	1.0001165867	3.9050121307
100.4347448349	1.0001152754	3.9055562019
101.4348020554	1.0001199245	3.9061179161
102.4348592758	1.0001167059	3.9066867828
103.4349160194	1.0001170635	3.9072487354
104.4349732399	1.0001201630	3.9077908993
105.4350304604	1.0001189709	3.9083600044
106.4350876808	1.0001111031	3.9088921547
107.4351449013	1.0001115799	3.9094235897
108.4352021217	1.0001127720	3.9099638462
109.4352593422	1.0001158714	3.9105124474
110.4353165627	1.0001153946	3.9110448360
111.4353737831	1.0001175404	3.9115703106
112.4354310036	1.0001183748	3.9121096134
113.4354882240	1.0001131296	3.9126307964
114.4355454445	1.0001118183	3.9131374359
115.4356026649	1.0001175404	3.9136564732
116.4356598854	1.0001171827	3.9141643047
117.4347167015	1.0001162291	3.9146814346
118.4347743988	1.0001165867	3.9151809216
119.4348311424	1.0001140833	3.9156906605
120.4348888397	1.0001167059	3.9161875248
121.4349455833	1.0001131296	3.9166920185
122.4350032806	1.0001155138	3.9171922207
123.4350600243	1.0001122952	3.9176771641
124.4351172447	1.0001165867	3.9181339741
125.4351744652	1.0001157522	3.9186363220
126.4352316856	1.0001102686	3.9191193581
127.4352884293	1.0001113415	3.9195826054
128.4353461266	1.0001138449	3.9200682640
129.4354028702	1.0001173019	3.9205477238
130.4354605675	1.0001152754	3.9210183620
131.4355173111	1.0001201630	3.9214899540
132.4355750084	1.0001163483	3.9219393730
