SOC,RO,R1,Q1,a1,R2,Q2,a2,Q,L
1,0.0792795804193512,0.0278620501037678,0.585497131600382,0.529305963691887,0.00741084206384604,0.780324856729196,0.890013579444029,119.840969785399,2.36747777881992e-07
0.889908572762055,0.0791728053237078,0.0242282310197666,0.588300377101905,0.529915001761758,0.0104233318359185,0.80032924604174,0.822700117288559,108.691348559389,2.40391134588856e-07
0.78012172981215,0.0797018863004917,0.0208791040321095,0.462705883923503,0.559463253297038,0.0146085064373756,0.787094628755236,0.77756105918333,113.289933824205,2.38546356581282e-07
0.670334721333214,0.080569330043624,0.0193493981494955,0.373757763989053,0.596603798922389,0.0157359473054259,0.814818840629202,0.776861674846692,129.38615472609,2.3215360275033e-07
0.560243151429025,0.0807315599834343,0.020523502096947,0.395434659750991,0.594548290009957,0.0159428622972192,0.941374367923551,0.781172532786944,171.011004759076,2.30465848947181e-07
0.450151796945412,0.0806097313453588,0.0228023401758086,0.49922980750324,0.570957865523111,0.0153952258120875,1.25683370765718,0.776703162237627,180.96651086736,2.29967778987047e-07
0.34006033756409,0.0806041373645692,0.0266841043823423,0.636866954478067,0.54690453200112,0.0135799465999725,1.86910844516757,0.797201034387948,152.37859530232,2.27699743379615e-07
0.230273740397243,0.0801754406169238,0.0380294635806364,1.1614529482551,0.477698249636523,0.0107933577526023,3.31250708994061,0.927012417584286,146.861424290838,2.29658816453926e-07
0.120486875456862,0.0795789070143549,0.0448827744150537,1.57712831730487,0.43354495261767,0.0116879021060208,3.66142996607701,0.978477649812778,157.608738023642,2.36586629164901e-07
0.0103953060234241,0.08259226221779,0.0353411042338793,0.918374577920768,0.519197424300575,0.0264905179881541,3.52835726929964,0.878605787568826,64.3668709836228,2.16029605116666e-07
