batch,R1,CPE1_T,CPE1_P,R2,Wo3_R,Wo3_T,W1_R
1,0.051323158050015985,1.0977046673040256,0.4865593489491923,0.03330447573122141,0.6356869060215399,842.3499677809054,1.8762927848871413e-14
2,0.041087484581105706,2.7700445808888796,0.3731857672482031,0.032201906692893724,0.6666391921225945,856.5065918963172,8.986580165099744e-33
3,0.02304262453159361,0.9311715196814652,0.2545014803523953,0.07934176404057815,0.6800500614664118,845.0251169980729,1.4138817566958575e-36
4,0.04786216691606783,1.4272155193809715,0.452042015399859,0.03315984178633197,0.6401583928009282,843.483019548158,3.1667914712249098e-12
5,0.040325517935180764,1.2833090382232346,0.5375803405389227,0.026542299158481067,0.35521756858221226,824.1260800296949,0.006897193288900411
6,0.04271416240136319,0.978375854546491,0.5639256144087045,0.029702304337057568,0.45196591319746027,838.0977113572303,0.00444683920967484
7,0.041977307029888236,0.973884834024107,0.5313047457170359,0.03261318093659231,0.44531576096025643,840.3387660224406,0.004848207214231813
8,0.044521462976519974,1.232922950543392,0.4883690407802546,0.03513467145629737,0.6431566798161285,832.0981836609528,1.0540069091084907e-11
9,0.039567553772137755,1.419785053711606,0.48548123763388257,0.0312473883822799,0.6382266267958031,832.9890949202221,1.1183578670159572e-05
10,0.042758988189709225,1.1509401617887125,0.5321554782911014,0.030690046390925138,0.4036260736386613,829.0793757227945,0.0057590379640196565
11,0.03952154593757994,1.8037667332033949,0.44528985966339385,0.03295143036588984,0.6634417875979876,839.2944131538495,8.956670710028592e-31
