Battery,Cycle,EIS_File,SoC,Discharge_Capacity_Ah,SoH,Modified SoC,L1,R0,R1,CPE1_0,CPE1_1,W1
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/10_EIS.csv",0.102017442393058,3.6644912742866596,1.0,0.1,2.5296512554376034e-07,0.07735191554353016,0.0845463799145581,2.836880624408454,0.37555308763954526,0.004130171356721752
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/9_EIS.csv",0.199688535826423,3.6644912742866596,1.0,0.2,2.3540306427063277e-07,0.0780580437715687,0.05932672554755025,1.5908588393981202,0.46226655685307166,0.001263507340339348
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/8_EIS.csv",0.297359418996599,3.6644912742866596,1.0,0.3,2.260028390177641e-07,0.0784753473996811,0.05236326738159715,1.2434976854487003,0.49899721078067716,0.0017999268239304125
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/7_EIS.csv",0.395030669673538,3.6644912742866596,1.0,0.4,2.1907028736113075e-07,0.07871626093565033,0.04700098673500687,0.9761015482186217,0.5342099896976291,0.002409138266710584
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/6_EIS.csv",0.492431679112812,3.6644912742866596,1.0,0.5,2.1330197023786041e-07,0.07888060203366425,0.043849578768797866,0.7937050201334709,0.5623571413630593,0.0019917018324353305
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/5_EIS.csv",0.590103255718601,3.6644912742866596,1.0,0.6,2.1205445044507375e-07,0.07883762421280446,0.04388542142189038,0.7414559830074607,0.5696980548216658,0.0019068200232882607
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/4_EIS.csv",0.687774617329376,3.6644912742866596,1.0,0.7,2.1088548074961793e-07,0.07880299537663552,0.042520315999972226,0.6822531763754807,0.5796554416330676,0.0022958650433763665
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/3_EIS.csv",0.785446013042756,3.6644912742866596,1.0,0.8,2.105554612284703e-07,0.07859210902001233,0.04145953013292279,0.6557084590069316,0.5836915503422853,0.003165424919062649
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/2_EIS.csv",0.883117630096188,3.6644912742866596,1.0,0.9,2.1152220100466447e-07,0.07829154220594388,0.041502652899842486,0.6435040433666704,0.5843039528137608,0.003725401482667744
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/1_EIS.csv",0.902597898396312,3.6644912742866596,1.0,0.9,2.1485908427713996e-07,0.07800223285607374,0.04008362669944627,0.6366725250481009,0.5835248640625926,0.0038357285175610106
LiPO_1,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_0/0_EIS.csv",1.0,3.6644912742866596,1.0,1.0,2.1674889458296232e-07,0.0775668280800728,0.04217617279626987,0.6747727735371987,0.5698210755993242,0.0030251113904358005
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/9_EIS.csv",0.0938617342839576,3.556919004014837,0.9706446919312797,0.1,2.3305833614852127e-07,0.0791962120776062,0.07504295188790677,2.596960744653399,0.4029648916177691,2.019274555448593e-17
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/8_EIS.csv",0.19466760241103,3.556919004014837,0.9706446919312797,0.2,2.3433060334920262e-07,0.07903645485667345,0.06364898694595232,2.12090821946221,0.42799340524480173,1.0759144698444989e-11
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/7_EIS.csv",0.295194783600758,3.556919004014837,0.9706446919312797,0.3,2.2583801581885813e-07,0.07957530494926257,0.05283281206730753,1.5477768271192163,0.47328125866184767,0.0016747167397968344
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/6_EIS.csv",0.39572165253728,3.556919004014837,0.9706446919312797,0.4,2.1707248793464463e-07,0.08017259892478285,0.04520702878593115,1.07720728780712,0.5244750654154677,0.001686311990388962
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/5_EIS.csv",0.496527528566632,3.556919004014837,0.9706446919312797,0.5,2.1474560375627445e-07,0.08030282707377491,0.044001132715701205,0.9590611681832677,0.5390195663789978,0.001603041433974949
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/4_EIS.csv",0.597333223672245,3.556919004014837,0.9706446919312797,0.6,2.1175446595130342e-07,0.08044379906306079,0.04148139851752001,0.820656706908671,0.5584669853842649,0.0020633893127327187
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/3_EIS.csv",0.697860186860113,3.556919004014837,0.9706446919312797,0.7,2.1115310683757474e-07,0.08040399132619816,0.03946928069069989,0.7537455233824789,0.5686984065289402,0.0031951462039261696
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/2_EIS.csv",0.798387226158719,3.556919004014837,0.9706446919312797,0.8,2.1253656177395485e-07,0.08012610637141163,0.038939981449838665,0.7257569649794844,0.5703083939402147,0.004208698685116123
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/1_EIS.csv",0.899193301243088,3.556919004014837,0.9706446919312797,0.9,2.1512860078119172e-07,0.07989221967224412,0.036654151192393,0.6877486807812936,0.5758630269500781,0.004555751986246922
LiPO_1,45,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_45/0_EIS.csv",1.0,3.556919004014837,0.9706446919312797,1.0,2.1599016153627704e-07,0.07965516970225724,0.03738784010442329,0.6714488566825847,0.5703591154307337,0.0037550239723425226
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/9_EIS.csv",0.0580617513229271,3.4088018769054047,0.9302251313366743,0.1,2.3136559247810498e-07,0.08063090760894852,0.094077029725287,3.1409709198327187,0.365932957792743,2.5890275469479585e-18
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/8_EIS.csv",0.162560390585803,3.4088018769054047,0.9302251313366743,0.2,2.2919832469294058e-07,0.08082135130776039,0.07232550157174468,2.342685392221158,0.40581348569392833,6.779115093348914e-20
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/7_EIS.csv",0.267058938792276,3.4088018769054047,0.9302251313366743,0.3,2.303303549403267e-07,0.08065988314992463,0.06257171116044839,1.9159405938707839,0.4296974562596042,0.0008330523124875177
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/6_EIS.csv",0.371847265559467,3.4088018769054047,0.9302251313366743,0.4,2.1819371303801986e-07,0.08178713671884792,0.04949363138054803,1.1876352124165928,0.49892528646353707,0.0019156994944866349
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/5_EIS.csv",0.476635881264472,3.4088018769054047,0.9302251313366743,0.5,2.140586439122095e-07,0.08205765373134681,0.047205971847114975,1.0066373887545537,0.520696631596592,0.0017857246821800605
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/4_EIS.csv",0.581134527206019,3.4088018769054047,0.9302251313366743,0.6,2.1026408485508076e-07,0.08229244634439124,0.04454546955186715,0.8499325529520068,0.5417556380659507,0.00217647502105173
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/3_EIS.csv",0.685633167580682,3.4088018769054047,0.9302251313366743,0.7,2.0995033699926242e-07,0.08231796866362272,0.0422640510858871,0.7596207978424853,0.5548892432948475,0.00328808544996503
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/2_EIS.csv",0.790421860807173,3.4088018769054047,0.9302251313366743,0.8,2.1056821823876716e-07,0.08210233572566782,0.041521775038360555,0.7296604342615606,0.5571257364220815,0.004745948160999231
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/1_EIS.csv",0.895210748328319,3.4088018769054047,0.9302251313366743,0.9,2.126875828849615e-07,0.08186548307311287,0.03923523756352225,0.6887783556155046,0.5638583228510229,0.0050204012387632885
LiPO_1,90,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_90/0_EIS.csv",1.0,3.4088018769054047,0.9302251313366743,1.0,2.1552367085969936e-07,0.08154905011987468,0.039853508213049935,0.6675251576066442,0.5580082296713916,0.004508881973221047
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/9_EIS.csv",0.0410981267871648,3.341066115330806,0.9117407752543188,0.0,2.2836505933182375e-07,0.08165245336068316,0.10907782316652494,3.567935337191657,0.34360828283323486,6.42692347197894e-23
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/8_EIS.csv",0.147741101993107,3.341066115330806,0.9117407752543188,0.1,2.281755501195716e-07,0.08185772818179099,0.07723932790215465,2.5034756216189313,0.3904513001731385,2.784503611598097e-19
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/7_EIS.csv",0.254383932655255,3.341066115330806,0.9117407752543188,0.3,2.3152559568118794e-07,0.08141967057138302,0.06715641955680925,2.1073916399055714,0.4083223861972086,0.0004667341849621522
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/6_EIS.csv",0.36102699770264,3.341066115330806,0.9117407752543188,0.4,2.1960331228892053e-07,0.08272472866162565,0.051908928626876,1.276197190381129,0.48113296325973065,0.0021635191204016865
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/5_EIS.csv",0.467374737968533,3.341066115330806,0.9117407752543188,0.5,2.149886863820602e-07,0.08306605770187889,0.048497457781117165,1.039913899881921,0.5082478055386819,0.00199345230021077
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/4_EIS.csv",0.573722468841476,3.341066115330806,0.9117407752543188,0.6,2.116289166840745e-07,0.08336314655849893,0.04575061450868728,0.8700177713463138,0.5305983775024388,0.0023623405033474805
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/3_EIS.csv",0.680365276821226,3.341066115330806,0.9117407752543188,0.7,2.1014147619034716e-07,0.08344097209508924,0.043238154860079474,0.7645578884616931,0.5461710003487178,0.003537364468597221
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/2_EIS.csv",0.787008514275298,3.341066115330806,0.9117407752543188,0.8,2.1082830351920796e-07,0.08328762974019016,0.04246261988010753,0.7306506778236975,0.5495812010922696,0.005049972032312556
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/1_EIS.csv",0.89365122796589,3.341066115330806,0.9117407752543188,0.9,2.1357778971250247e-07,0.08300524630901676,0.04024091871541149,0.6898795345697905,0.5558881011933339,0.005394617369974647
LiPO_1,116,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_116/0_EIS.csv",1.0,3.341066115330806,0.9117407752543188,1.0,2.1534589262578525e-07,0.08272465174687166,0.04076822256848733,0.6621936262170218,0.5519247997108658,0.005002116414891899
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/9_EIS.csv",0.0225994815900182,3.2716162837585014,0.8927886680246943,0.0,2.2890755189204556e-07,0.08217514907616955,0.1324150728812475,3.992174135515431,0.3213156622422569,7.115512359132423e-17
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/8_EIS.csv",0.131031873872836,3.2716162837585014,0.8927886680246943,0.1,2.2676979223511482e-07,0.08256748582906379,0.08392318181061352,2.6210020163816785,0.3768230843645125,2.10947870745216e-17
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/7_EIS.csv",0.239765500770438,3.2716162837585014,0.8927886680246943,0.2,2.3411619635226435e-07,0.0819160329774188,0.07281588275267756,2.239826003776581,0.391395505645779,4.4331773212701514e-05
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/6_EIS.csv",0.348499328265157,3.2716162837585014,0.8927886680246943,0.3,2.2138753689353408e-07,0.08336159666795284,0.05532036355526895,1.359711434103104,0.46407612048037256,0.0023710979461118464
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/5_EIS.csv",0.456932128529772,3.2716162837585014,0.8927886680246943,0.5,2.149624376533966e-07,0.08392217810777915,0.05022324987882919,1.0448954057292765,0.5000284795760849,0.0022306875212785423
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/4_EIS.csv",0.565364866347304,3.2716162837585014,0.8927886680246943,0.6,2.1251429269139188e-07,0.08425127310265978,0.04731797612433987,0.8713381407647428,0.5231434279874592,0.0025939660466400135
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/3_EIS.csv",0.674098679445267,3.2716162837585014,0.8927886680246943,0.7,2.1048476180255647e-07,0.0843702336320737,0.04447298338825748,0.7532946207529211,0.5410697906765366,0.0037907485426070973
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/2_EIS.csv",0.782832415517283,3.2716162837585014,0.8927886680246943,0.8,2.1119336971612522e-07,0.08421047410908782,0.04364679582045728,0.7193635614583226,0.5441844570014894,0.005333725095400765
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/1_EIS.csv",0.891566280509506,3.2716162837585014,0.8927886680246943,0.9,2.129403310851456e-07,0.08400735061764955,0.04136396488902216,0.6835544468798794,0.5509462034417915,0.005766857567413017
LiPO_1,135,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_135/0_EIS.csv",1.0,3.2716162837585014,0.8927886680246943,1.0,2.15832011546445e-07,0.08367260045634368,0.04173658711597789,0.6486640674107811,0.5483980778769453,0.0054400235892544686
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/8_EIS.csv",0.0412309276324493,2.935234882823366,0.8009938250964309,0.0,2.391923550996036e-07,0.08361582955035188,0.12884821354239454,3.2315299313786268,0.32038095529729693,1.780369467278215e-22
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/7_EIS.csv",0.160910798204943,2.935234882823366,0.8009938250964309,0.2,2.448601916081965e-07,0.08357520358872768,0.09531760157171425,2.400862547855646,0.35503555062087333,3.337803018622178e-24
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/6_EIS.csv",0.280922398718692,2.935234882823366,0.8009938250964309,0.3,2.396235344324862e-07,0.08458306091768603,0.07482803124948893,1.7054575000047303,0.40322853151153143,0.002384816302586366
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/5_EIS.csv",0.400602931016703,2.935234882823366,0.8009938250964309,0.4,2.2402785470830944e-07,0.08637753217310916,0.05907810540540972,1.03694940521237,0.47673597816487856,0.0036911338457942416
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/4_EIS.csv",0.520282963274602,2.935234882823366,0.8009938250964309,0.5,2.1751507683875308e-07,0.08697489325179676,0.05473755688670638,0.8241321423445669,0.5087967643418805,0.003779602232862103
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/3_EIS.csv",0.640294759901929,2.935234882823366,0.8009938250964309,0.6,2.1342287442029432e-07,0.08730151564130875,0.05086423602138958,0.6889551210328805,0.5330440107235126,0.0048981509422090005
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/2_EIS.csv",0.760307220994812,2.935234882823366,0.8009938250964309,0.8,2.1364167849160183e-07,0.08720542995680752,0.04907762458898568,0.6353505747657029,0.5422213220211014,0.006529063271921246
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/1_EIS.csv",0.880319478354194,2.935234882823366,0.8009938250964309,0.9,2.1613069449157093e-07,0.08683818238507165,0.04714839299245174,0.6207258011329605,0.5441104385490875,0.007312104820238595
LiPO_1,180,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_180/0_EIS.csv",1.0,2.935234882823366,0.8009938250964309,1.0,2.2112759283361642e-07,0.08625196855222934,0.04651767156052134,0.5974223348493501,0.5436742479992613,0.0075225270389762565
LiPO_1,204,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_204/2_EIS.csv",0.753082930714524,2.841164742934155,0.775323102246225,0.8,2.1632771111886108e-07,0.08805588740548383,0.05031321283978145,0.6254481917614665,0.5450003773217326,0.007010501661713237
LiPO_1,204,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_204/1_EIS.csv",0.876712044772927,2.841164742934155,0.775323102246225,0.9,2.184982476087653e-07,0.08765303248507021,0.048241341370011785,0.6200056158285798,0.5457882902627597,0.008015990674562271
LiPO_1,204,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1/EIS_Charge_discharge/EIS_204/0_EIS.csv",1.0,2.841164742934155,0.775323102246225,1.0,2.226975448895107e-07,0.08702291459864399,0.04748535215743995,0.5975625660308072,0.5464470283528869,0.008100269194443725
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/9_EIS.csv",0.0933246882811448,3.5497204517241463,1.0,0.1,2.296739764539536e-07,0.07487140978426308,0.09608307350195006,2.1106594338855977,0.4178840888151289,2.0498641701829437e-21
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/8_EIS.csv",0.19419044573703,3.5497204517241463,1.0,0.2,2.2430340466933076e-07,0.07512153219950983,0.08153312383960923,1.6912236743723288,0.44749907067029243,2.8842725058953344e-19
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/7_EIS.csv",0.294777059770849,3.5497204517241463,1.0,0.3,2.1407173734146139e-07,0.07572815209922819,0.06773659593604467,1.2638331311520627,0.49085074224062997,0.0016980303803343778
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/6_EIS.csv",0.395363796690334,3.5497204517241463,1.0,0.4,1.9639458224451358e-07,0.07684497941533651,0.05513202193397974,0.8002892785081644,0.5589732538993667,0.0018996047209832792
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/5_EIS.csv",0.496229595541809,3.5497204517241463,1.0,0.5,1.912373280329575e-07,0.07708441911012999,0.05321719018521596,0.6981555893408935,0.5782055417614209,0.001746529478118049
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/4_EIS.csv",0.597095308214146,3.5497204517241463,1.0,0.6,1.875273458257387e-07,0.07724873918726574,0.04954713742916855,0.6050563497252598,0.5977019166048995,0.0022934406450406137
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/3_EIS.csv",0.697961036718687,3.5497204517241463,1.0,0.7,1.8619260222645586e-07,0.0771433061772477,0.04662138012100692,0.5554211817807858,0.6084311744156635,0.0034498386692754478
LiPO_2,0,"./LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2/EIS_Charge_discharge/EIS_0/2_EIS.csv",0.798547598790472,3.5497204517241463,1.0,0.8,1.8571114289941794e-07,0.07697283603148089,0.04512985775796569,0.525872663295587,0.6150064182436875,0.004054997620880414
