10000,33.13795206,3.833939446
7498.942093,32.81185006,3.572950478
5623.413252,32.48166056,3.528487819
4216.965034,32.22352806,3.700820502
3162.27766,31.85183947,4.082379801
2371.373706,31.39862584,4.706112542
1778.27941,30.75470886,5.430266827
1333.521432,29.92196761,6.280725262
1000,28.45110796,7.642896379
749.894209,26.736394,8.597965866
562.341325,24.85411726,9.409823653
421.696503,22.51620749,9.866725349
316.227766,20.09956877,9.900307651
237.137371,17.77843049,9.514853682
177.827941,15.72124693,8.850054309
133.352143,14.02729956,8.094392107
100,12.52312484,7.246652567
74.989421,11.30017993,6.425368004
56.234133,10.24313396,5.66137863
42.16965,9.34659353,4.938518651
31.622777,8.599181101,4.289158997
23.713737,7.982447438,3.688336497
17.782794,7.463508288,3.147989105
13.335214,7.026534642,2.704483425
10,6.72212709,2.318475405
