SoH Values at Different Cycles for LiPo-1 
Cycle,Discharge_Capacity_Ah,SoH
0,-3.6644912742866596,1.0
45,-3.556919004014837,0.9706446919312797
90,-3.4088018769054047,0.9302251313366743
116,-3.341066115330806,0.9117407752543188
135,-3.2716162837585014,0.8927886680246943
180,-2.935234882823366,0.8009938250964309
204,-2.841164742934155,0.775323102246225
