10000,62.41860009,2.672895551
7498.942093,62.15478157,2.868942375
5623.413252,61.85318568,3.192133715
4216.965034,61.58560864,3.588548697
3162.27766,61.11581204,4.258709817
2371.373706,60.44842957,4.942572192
1778.27941,59.64075398,5.817347047
1333.521432,58.45839166,6.603499588
1000,56.91663628,7.578203376
749.894209,55.235007,8.270497324
562.341325,53.48322848,8.759372878
421.696503,51.49843859,9.012168616
316.227766,49.60595154,9.100741712
237.137371,47.68179879,8.987262408
177.827941,45.93866966,8.775220191
133.352143,44.38326004,8.485759546
100,42.77952498,8.202982467
74.989421,41.39329068,7.953428585
56.234133,39.99015024,7.768750484
42.16965,38.65286838,7.537576642
31.622777,37.34223326,7.411290176
23.713737,36.03085486,7.255151102
17.782794,34.69664579,7.078842416
13.335214,33.38453127,6.998909285
10,32.4764339,8.053265017
